start_time,end_time,state
0.0,0.060100166944908176,S1
0.08013355592654424,1.1819699499165275,systole
1.2020033388981637,1.2621035058430718,S2
1.2821368948247078,2.323873121869783,diastole
2.343906510851419,2.4440734557595993,S1
2.4641068447412353,2.984974958263773,systole
3.005008347245409,3.065108514190317,S2
3.0851419031719534,3.7462437395659434,diastole
3.7662771285475793,3.8664440734557597,S1
3.8864774624373957,4.146911519198665,systole
4.166944908180301,4.227045075125209,S2
4.247078464106845,4.507512520868113,diastole
4.527545909849749,4.62771285475793,S1
4.647746243739566,4.747913188647746,systole
4.767946577629382,4.828046744574291,S2
4.848080133555927,5.268781302170284,diastole
5.28881469115192,5.3889816360601,S1
5.409015025041736,5.569282136894825,systole
5.589315525876461,5.649415692821369,S2
5.6694490818030046,6.010016694490818,diastole
6.030050083472454,6.130217028380634,S1
6.150250417362271,6.3505843071786305,systole
6.370617696160267,6.430717863105175,S2
6.450751252086811,6.831385642737897,diastole
6.851419031719533,6.951585976627713,S1
6.971619365609349,7.171953255425709,systole
7.191986644407345,7.252086811352254,S2
7.27212020033389,7.652754590984975,diastole
7.6727879799666105,7.772954924874791,S1
7.792988313856427,7.973288814691152,systole
7.993322203672788,8.053422370617696,S2
8.073455759599332,8.414023372287145,diastole
8.434056761268781,8.534223706176961,S1
8.554257095158597,8.754590984974959,systole
8.774624373956595,8.834724540901503,S2
8.854757929883139,9.235392320534224,diastole
9.25542570951586,9.35559265442404,S1
9.375626043405676,10.036727879799667,systole
10.056761268781303,10.11686143572621,S2
10.136894824707847,10.337228714524207,diastole
10.357262103505843,10.457429048414022,S1
10.477462437395658,10.737896494156928,systole
10.757929883138564,10.818030050083472,S2
10.838063439065108,11.43906510851419,diastole
11.459098497495827,11.559265442404007,S1
11.579298831385643,12.0,systole
