start_time,end_time,state
0.0,0.2604340567612688,S1
0.28046744574290483,0.44073455759599334,systole
0.4607679465776294,0.5208681135225376,S2
0.5409015025041736,0.8414023372287145,diastole
0.8614357262103506,0.9616026711185308,S1
0.9816360601001669,1.1419031719532553,systole
1.1619365609348915,1.2220367278797997,S2
1.2420701168614356,1.4624373956594323,diastole
1.4824707846410685,1.5826377295492486,S1
1.6026711185308848,1.7629382303839733,systole
1.7829716193656093,1.8430717863105175,S2
1.8631051752921535,2.1636060100166943,diastole
2.1836393989983307,2.2838063439065106,S1
2.303839732888147,2.4641068447412353,systole
2.4841402337228713,2.5442404006677797,S2
2.5642737896494157,12.0,diastole
