start_time,end_time,state,source_directory,source_filename,source_full_path,category
0.0,0.340567612687813,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
0.3606010016694491,0.7412353923205343,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
0.7612687813021702,0.8213689482470784,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
0.8414023372287145,1.0417362270450752,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
1.0617696160267112,1.1619365609348915,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
1.1819699499165277,1.542570951585977,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
1.5626043405676129,1.6227045075125208,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
1.6427378964941568,2.323873121869783,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
2.343906510851419,2.4440734557595993,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
2.4641068447412353,3.1452420701168613,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
3.1652754590984973,3.2253756260434057,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
3.2454090150250416,3.345575959933222,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
3.365609348914858,3.4657762938230383,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
3.4858096828046743,3.946577629382304,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
3.96661101836394,4.026711185308848,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
4.046744574290484,4.186978297161937,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
4.207011686143573,4.307178631051753,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
4.327212020033389,4.547579298831385,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
4.567612687813021,4.62771285475793,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
4.647746243739566,5.509181969949917,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
5.529215358931553,5.629382303839733,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
5.649415692821369,6.3505843071786305,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
6.370617696160267,6.430717863105175,S2,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
6.450751252086811,7.131886477462437,diastole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
7.151919866444073,7.252086811352254,S1,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
7.27212020033389,7.612687813021703,systole,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output,201105051017_states.csv,/Users/gemwincanete/Audio/thesis/datasets/Denoised/artifact/Train/springer_segmentation_output/201105051017_states.csv,artifact
